id,dbnl_id,business,accompanying,function,topic,greeting_start,greeting_end,opening_start,opening_end,narratio_start,narratio_end,closing_start,closing_end,finalgreeting_start,finalgreeting_end
29,hoof001hwva02_01_0039,1,0,raad,werkaangelegenheden,97,118,,,121,723,724,1007,1010,1131
38,hoof001hwva02_01_0048,1,0,gunst,werkaangelegenheden,12,34,,,36,274,,,,
43,hoof001hwva02_01_0053,1,0,vermanen,werkaangelegenheden,0,66,,,68,738,739,757,758,830
94,hoof001hwva02_01_0105,1,1,informeren,werkaangelegenheden,0,38,,,42,3787,3790,3934,3937,3990
113,hoof001hwva02_01_0124,1,1,vermanen,werkaangelegenheden,4,179,,,182,1425,1426,1672,1675,1748
115,hoof001hwva02_01_0126,1,1,informeren,werkaangelegenheden,31,46,49,214,215,833,833,888,891,971
118,hoof001hwva02_01_0129,1,0,informeren,werkaangelegenheden,4,29,,,32,413,,,414,438
120,hoof001hwva02_01_0131,1,0,overtuigen,werkaangelegenheden,4,43,,,46,1465,1466,1474,1477,1514
145,hoof001hwva02_01_0156,1,0,raad,werkaangelegenheden,4,170,,,173,1200,1200,1344,1347,1441
163,hoof001hwva02_01_0174,1,0,aanbevelen,werkaangelegenheden,62,124,,,127,1407,1408,1516,1519,1597
166,hoof001hwva02_01_0177,1,0,vermanen,werkaangelegenheden,67,75,,,78,4982,4983,5138,5141,5244
178,hoof001hwva02_01_0189,1,0,vermanen,werkaangelegenheden,19,27,,,30,1039,1040,1086,1089,1107
186,hoof001hwva02_01_0197,1,0,informeren,werkaangelegenheden,43,51,,,54,2075,2076,2197,2200,2298
197,hoof001hwva02_01_0208,1,0,gunst,huishoudelijk,46,54,,,57,996,997,1134,1137,1221
218,hoof001hwva02_01_0231,1,0,informeren,werkaangelegenheden,4,46,,,48,1631,1634,1754,1756,1851
237,hoof001hwva02_01_0251,1,0,vermanen,werkaangelegenheden,4,47,,,50,2053,2054,2177,2180,2259
260,hoof001hwva02_01_0275,0,0,bedanken,literatuur,52,63,,,66,1426,1427,1805,1808,2047
305,hoof001hwva02_01_0320,0,0,uitnodigen,actualiteit,88,104,,,107,3701,3702,3861,3864,3952
314,hoof001hwva02_01_0329,0,1,informeren,literatuur,92,107,,,110,1719,1720,1764,1765,1841
*339,hoof001hwva02_01_0354,1,0,informeren,werkaangelegenheden,53,106,,,109,2757,2758,3086,3089,3179
410,hoof001hwva03_01_0045,1,0,aanbevelen,werkaangelegenheden,51,58,,,61,791,792,831,834,921
423,hoof001hwva03_01_0058,1,1,informeren,werkaangelegenheden,48,63,,,66,1296,1299,1402,1404,1500
435,hoof001hwva03_01_0070,0,0,informeren,huishoudelijk,22,44,,,47,3822,3822,3965,3967,4096
473,hoof001hwva03_01_0108,0,1,informeren,actualiteit,136,152,,,155,1254,1255,1335,1337,1440
489,hoof001hwva03_01_0124,1,1,informeren,werkaangelegenheden,4,56,,,58,405,406,533,536,613
491,hoof001hwva03_01_0126,1,1,informeren,werkaangelegenheden,44,57,,,60,981,982,1078,1080,1169
550,hoof001hwva03_01_0185,0,0,informeren,actualiteit,111,127,130,364,365,1262,1263,1377,1380,1486
563,hoof001hwva03_01_0197,0,0,bedanken,levensbeschouwing,31,42,,,45,1719,1719,1986,1989,2058
587,hoof001hwva03_01_0221,0,0,informeren,actualiteit,136,145,,,148,1472,1472,1528,1529,1615
595,hoof001hwva03_01_0229,0,0,raad,actualiteit,137,153,156,393,394,1220,1221,1340,1343,1455
603,hoof001hwva03_01_0237,0,0,informeren,actualiteit,144,160,,,163,2400,,,2403,2519
621,hoof001hwva03_01_0255,0,0,raad,overlijden,118,134,,,137,722,724,797,800,884
660,hoof001hwva03_01_0294,1,0,gunst,overlijden,30,38,41,407,408,2685,2686,2882,2884,2989
665,hoof001hwva03_01_0299,0,1,informeren,huishoudelijk,109,125,,,128,744,745,991,994,1104
681,hoof001hwva03_01_0315,0,1,bedanken,werkaangelegenheden,4,42,,,45,516,,,,
726,hoof001hwva03_01_0360,0,1,uitnodigen,huishoudelijk,149,166,168,402,403,2806,2807,2908,2911,3014
777,hoof001hwva03_01_0410,0,0,informeren,actualiteit,108,122,,,125,743,743,874,877,1013
802,hoof001hwva03_01_0435,0,0,gunst,actualiteit,102,118,,,120,2287,2288,2431,2433,2537
811,hoof001hwva03_01_0444,0,0,uitnodigen,onbekend,125,134,137,666,669,961,962,1104,1107,1192
843,hoof001hwva03_01_0476,1,0,gunst,literatuur,84,100,,,103,2497,2498,2599,2602,2717
904,hoof001hwva04_01_0004,1,1,gunst,huishoudelijk,2,18,,,20,1064,1066,1126,1128,1241
911,hoof001hwva04_01_0011,2,2,uitnodigen,actualiteit,114,126,128,759,760,2773,2774,2866,2868,2971
