id,to_id,dated,dbnl_id
5,1,22-1-1602,hoof001hwva02_01_0015
7,5,3-4-1607,hoof001hwva02_01_0017
12,6,28-10-1608,hoof001hwva02_01_0022
15,7,01-03-1609,hoof001hwva02_01_0025
16,8,18-6-1609,hoof001hwva02_01_0026
17,9,21-2-1610,hoof001hwva02_01_0027
18,10,19-4-1610,hoof001hwva02_01_0028
20,1,27-3-1611,hoof001hwva02_01_0030
22,9,6-8-1611,hoof001hwva02_01_0032
23,12,4-3-1612,hoof001hwva02_01_0033
24,13,9-4-1612,hoof001hwva02_01_0034
25,13,9-4-1612,hoof001hwva02_01_0035
26,14,12-4-1612,hoof001hwva02_01_0036
27,13,13-4-1612,hoof001hwva02_01_0037
28,15,24-4-1612,hoof001hwva02_01_0038
29,13,30-4-1612,hoof001hwva02_01_0039
30,12,9-5-1612,hoof001hwva02_01_0040
31,13,27-5-1612,hoof001hwva02_01_0041
32,16,27-5-1612,hoof001hwva02_01_0042
33,13,5-6-1612,hoof001hwva02_01_0043
34,16,21-6-1612,hoof001hwva02_01_0044
35,17,2-7-1612,hoof001hwva02_01_0045
36,12,2-7-1612,hoof001hwva02_01_0046
37,18,9-7-1612,hoof001hwva02_01_0047
38,16,13-7-1612,hoof001hwva02_01_0048
39,11,9-8-1612,hoof001hwva02_01_0049
40,13,9-10-1612,hoof001hwva02_01_0050
41,19,6-11-1612,hoof001hwva02_01_0051
42,1,8-11-1612,hoof001hwva02_01_0052
43,20,13-11-1612,hoof001hwva02_01_0053
45,22,19-11-1612,hoof001hwva02_01_0055
46,13,3-12-1612,hoof001hwva02_01_0056
47,16,30-12-1612,hoof001hwva02_01_0057
49,23,9-3-1613,hoof001hwva02_01_0059
50,24,18-5-1613,hoof001hwva02_01_0060
52,24,30-7-1613,hoof001hwva02_01_0062
53,25,17-8-1613,hoof001hwva02_01_0063
54,26,1-9-1613,hoof001hwva02_01_0064
55,16,1-9-1613,hoof001hwva02_01_0065
56,16,5-9-1613,hoof001hwva02_01_0066
57,27,2-11-1613,hoof001hwva02_01_0067
58,16,19-1-1614,hoof001hwva02_01_0068
59,28,20-1-1614,hoof001hwva02_01_0069
60,16,15-2-1614,hoof001hwva02_01_0070
61,29,17-3-1614,hoof001hwva02_01_0071
62,30,27-3-1614,hoof001hwva02_01_0072
63,13,27-3-1614,hoof001hwva02_01_0073
64,31,27-3-1614,hoof001hwva02_01_0074
65,29,14-5-1614,hoof001hwva02_01_0075
66,16,22-5-1614,hoof001hwva02_01_0076
67,29,24-5-1614,hoof001hwva02_01_0077
68,16,9-6-1614,hoof001hwva02_01_0078
69,32,9-6-1614,hoof001hwva02_01_0079
70,13,5-7-1614,hoof001hwva02_01_0080
70a,1,8-7-1614,hoof001hwva02_01_0081
71,9,13-7-1614,hoof001hwva02_01_0082
72,1,23-8-1614,hoof001hwva02_01_0083
73,24,13-9-1614,hoof001hwva02_01_0084
74,36,15-9-1614,hoof001hwva02_01_0085
75,1,7-11-1614,hoof001hwva02_01_0086
76,13,9-11-1614,hoof001hwva02_01_0087
77,24,18-12-1614,hoof001hwva02_01_0088
78,38,7-2-1615,hoof001hwva02_01_0089
79,13,25-2-1615,hoof001hwva02_01_0090
80,1,28-3-1615,hoof001hwva02_01_0091
81,13,22-4-1615,hoof001hwva02_01_0092
82,16,31-5-1615,hoof001hwva02_01_0093
83,24,12-7-1615,hoof001hwva02_01_0094
84,39,10-10-1615,hoof001hwva02_01_0095
85,13,22-10-1615,hoof001hwva02_01_0096
86,1,22-12-1615,hoof001hwva02_01_0097
87,40,1-12-1615,hoof001hwva02_01_0098
88,9,9-3-1616,hoof001hwva02_01_0099
89,16,24-3-1616,hoof001hwva02_01_0100
90,41,7-4-1616,hoof001hwva02_01_0101
91,24,22-6-1616,hoof001hwva02_01_0102
92,12,5-7-1616,hoof001hwva02_01_0103
93,42,31-7-1616,hoof001hwva02_01_0104
94,24,8-31-8-1616,hoof001hwva02_01_0105
95,1,29-31.8.'16,hoof001hwva02_01_0106
96,28,9-9-1616,hoof001hwva02_01_0107
97,1,23-9-1616,hoof001hwva02_01_0108
98,44,19-10-1616,hoof001hwva02_01_0109
99,1,24-10-1616,hoof001hwva02_01_0110
100,13,28-10-1616,hoof001hwva02_01_0111
101,1,31-10-1616,hoof001hwva02_01_0112
102,24,7-11-1616,hoof001hwva02_01_0113
103,28,14-11-1616,hoof001hwva02_01_0114
104,44,29-11-1616,hoof001hwva02_01_0115
105,24,15-12-1616,hoof001hwva02_01_0116
106,1,11-1-1617,hoof001hwva02_01_0117
107,44,17-1-1617,hoof001hwva02_01_0118
108,1,24-1-1617,hoof001hwva02_01_0119
109,16,5-4-1617,hoof001hwva02_01_0120
110,13,11-4-1617,hoof001hwva02_01_0121
111,16,12-4-1617,hoof001hwva02_01_0122
112,47,29-4-1617,hoof001hwva02_01_0123
113,48,29-4-1617,hoof001hwva02_01_0124
114,49,5-7-1617,hoof001hwva02_01_0125
115,16,5-7-1617,hoof001hwva02_01_0126
116,24,5-7-1617,hoof001hwva02_01_0127
117,13,30-7-1617,hoof001hwva02_01_0128
118,16,25-9-1617,hoof001hwva02_01_0129
119,50,9-10-1617,hoof001hwva02_01_0130
120,13,21-11-1617,hoof001hwva02_01_0131
121,13,6-12-1617,hoof001hwva02_01_0132
122,16,15-12-1617,hoof001hwva02_01_0133
124,16,15-3-1618,hoof001hwva02_01_0135
125,9,25-3-1618,hoof001hwva02_01_0136
126,13,30-4-1618,hoof001hwva02_01_0137
128,27,29-6-1618,hoof001hwva02_01_0139
129,24,29-6-1618,hoof001hwva02_01_0140
130,16,5-7-1618,hoof001hwva02_01_0141
131,24,15-7-1618,hoof001hwva02_01_0142
132,1,19-8-1618,hoof001hwva02_01_0143
133,53,15-11-1618,hoof001hwva02_01_0144
134,54,27-11-1618,hoof001hwva02_01_0145
135,53,27-11-1618,hoof001hwva02_01_0146
136,46,17-12-1618,hoof001hwva02_01_0147
137,9,6-2-1619,hoof001hwva02_01_0148
138,42,19-21.2.'19,hoof001hwva02_01_0149
